"state","party","educated","pop","percentDems"
"Texas","republicans",30.77,29145505,46.48
"California","democrats",33,39253000,63.48
"Alabama","republicans",25,5024000,36.57
"Alaska","republicans",28.8,733391,42.77
"Arizona","democrats",25,7151000,49.36
"Arkansas","republicans",23,3011000,34.78
"Colorado","democrats",42.6,5773000,55.40
"Connecticut","democrats",39.3,3605000,59.26
"Deleware","democrats",33,989948,58.74
"Florida","republicans",30.70,21538000,47.86
"D.C","democrats",39,698545,92.15
"Georgia","democrats",32.51,10711000,49.47
"Hawaii","democrats",33,1455000,63.73
"Idaho","republicans",28.75,1839106,33.07
"Illinois","democrats",35.76,12812508,57.54
"Indiana","republicans",26.94,6785528,40.96
"Iowa","republicans",29.31,3190396,44.89
"Kansas","republicans",34.02,2937120,41.56
"Louisiana","republicans",24.98,4657575,39.85
"Kentucky","republicans",25.13,4505363,36.15
"Maine","democrats",33.19,1362359,53.09
"Maryland","democrats",40.88,6117224,65.36
"Massachusetts","democrats",44.98,7029197,65.60
"Michigan","democrats",30.03,10077331,50.62
"Minnesota","democrats",37.25,5706404,52.40
"Mississippi","republicans",22.31,2961279,41.06
"Missouri","republicans",30.22,6145913,41.41
"Montana","republicans",33.58,1084225,40.55
"Nebrasksa","republicans",33.28,1961504,39.17
"Nevada","democrats",25.69,3104614,50.06
"New Hampshire","democrats",37.58,1377529,52.71
"New Jersey","democrats",41.22,9288994,57.33
"New Mexico","democrats",27.67,2117522,54.29
"New York","democrats",37.81,20201249,60.86
"North Carolina","republicans",32.30,10429488,48.59
"North Dakota","republicans",30.41,779094,31.76
"Ohio","republicans",29.28,11799448,31.76
"Oklahoma","republicans",26.21,3959353,32.29
"Oregon","democrats",34.55,4237256,56.45
"Pennsylvania","democrats",32.31,13002700,50.01
"Rhode Island","democrats",34.84,1097379,59.39
"South Carolina","republicans",29.60,1097379,43.43
"South Dakota","republicans",29.72,886667,35.61
"Tennessee","republicans",28.72,6910840,37.45
"Utah","republicans",34.77,3271616,37.65
"Vermont","democrats",38.66,643077,66.09
"Virginia","democrats",39.59,8631393,54.11
"Washington","democrats",36.97,7705281,57.97
"West Virginia","republicans",21.05,1793716,29.69
"Wisconsin","democrats",31.34,5893718,49.45
"Wyoming","republicans",29.13,576851,26.55